english,russian
Alexander,Александр
Alex,Алексей
Alexandra,Александра
Alina,Алина
Alyona,Алёна
Anastasia,Анастасия
Andrey,Андрей
Angelina,Ангелина
Anna,Анна
Anton,Антон
Artemiy,Артемий
Artur,Артур
Artyom,Артем
Bogdan,Богдан
Boris,Борис
Christina,Кристина
Daria,Дарья
Darina,Дарина
Den,Денис
Dmitriy,Дмитрий
Edward,Эдуард
Egor,Егор
Elena,Елена
Eliana,Элиана
Emily,Эмилия
Eugene,Евгений
Eugenia,Евгения
Felix,Феликс
Galina,Галина
Grigoriy,Григорий
Igor,Игорь
Ilya,Илья
Inna,Инна
Irina,Ирина
Ivan,Иван
Julia,Юлия
Kamil,Камил
Karina,Карина
Kate,Екатерина
Konstantin,Константин
Ksenia,Ксения
Larisa,Лариса
Lesya,Леся
Lidia,Лидия
Liubov,Любовь
Liudmila,Людмила
Margarita,Маргарита
Maria,Мария
Marina,Марина
Mark,Марк
Max,Максим
Mikhail,Михаил
Nadine,Надежда
Nataly,Наталия
Nazar,Назар
Nelly,Нелли
Nick,Николай
Nikita,Никита
Oksana,Оксана
Oleg,Олег
Olga,Ольга
Paul,Павел
Peter,Петр
Polina,Полина
Rafael,Рафаил
Roman,Роман
Sabina,Сабина
Semyon,Семен
Sergey,Сергей
Stas,Станислав
Svetlana,Светлана
Sviatoslav,Святослав
Tamara,Тамара
Taras,Тарас
Tatyana,Татьяна
Vadim,Вадим
Valentin,Валентин
Valentina,Валентина
Valeria,Валерия
Vasiliy,Василий
Veronica,Вероника
Victoria,Виктория
Violetta,Волетта
Vitaliy,Виталий
Joseph,Йосип
Klavdia,Клавдия
Maryana,Марьяна
German,Герман
Vlad,Владислав
Vlada,Владислава
Vladimir,Владимир
Vladlen,Владлен
Vsevolod,Всеволод
Vyacheslav,Вячеслав
Yana,Яна
Yanis,Янис
Yuriy,Юрий
Zhanna,Жанна
Rostislav,Ростислав
Sofia,София
Lilia,Лилия
Marcel,Марсель
Kirill,Кирилл
Anatoliy,Анатолий
Elvina,Эльвина
Nataly,Наталья
Milla,Мила
Violetta,Виолетта
Kate ,Катерина
Darilana,Дарилана
Ostap,Остап
Tuan,Туан
Eliana,Эляна
Vlad,Влад
Valeriy,Валерий
Victor,Виктор
Lina,Лина
Lolita,Лолита
Danil,Данил
Maryana,Марианна
Arseniy,Арсений
Roksolana,Роксолана
Zoryana,Зоряна
Luiza,Луиза
Eleonora,Элеонора
Anna-Victoria,Анна-Виктория
Marta,Марта
Ivanna,Иванна
Yan,Ян
Niсkolas,Николас
Elvira,Эльвира
Vartui,Вартуи 
Elizabeth,Елизавета
Ruzanna,Рузанна
Orest,Орест
Nina,Нина
Yaroslav,Ярослав
Olesya,Олеся
Orysya,Орися
Miroslava,Мирослава
Stepan,Степан
